ad_link,title,price,description,mileage,location,dealer
https://www.autotrader.ca/a/tesla/model%20y/abbotsford/british%20columbia/5_62326068_20150723080519246/,"2022 Tesla Model Y Performance AWD  No PST, Ryzen Chip, Front/Rear Se","$55,498","Sport Package,  Fast Charging,  Synthetic Leather Seats,  360 Camera,  Sunroof!
 

  2022 Tesla Model Y Performance AWD
July 2022 Production with the AMD Ryzen chip.
Last of the bunch with Front and Rear Sensors.
1 Owner
 
No accidents
Full front PPF/3M - full hood, full fend...","71,487 km",Abbotsford,Fraser Valley Pre-Owned
https://www.autotrader.ca/a/chevrolet/bolt%20euv/georgetown/ontario/5_62980576_on20080206114620836/,2023 Chevrolet Bolt EUV Premier FWD | HTD SEATS | 25K KM | BU CAM | LTHR,"$32,950","FEATURES:

INTERIOR:
Leather Seats
Tilt & Telescopic Steering
Variable Intermittent Wipers
Power Locks
Power Windows
Power Mirrors
Dual Air Bags

EXTERIOR & MECHANICAL:
Electric Engine
Alloy Wheels
Roof Rails
Fog Lights
Power Steering
Traction Control (TCS)
Vehicle Stability M...","25,073 km",Georgetown,Georgetown Kia
https://www.autotrader.ca/a/jeep/wrangler/st.%20catharines/ontario/5_63063419_on20071212112139827/,2021 Jeep Wrangler 4xe Unlimited Sahara 4x4 | Leather | Navigation,"$40,900","This is a 2021 Jeep Wrangler 4xe Unlimited Sahara HYBRID. 

HISTORY: No Accident History, Excellent Condition, Dealer Certified Pre-owned, Local Trade. 

FACTORY WARRANTY - Extended Warranty Optional 

HIGHLIGHT FEATURES - Leather, Dual Zone Automatic Climate Control, Rearview...","71,582 km",St. Catharines,Kia Of St Catharines
https://www.autotrader.ca/a/hyundai/ioniq%205/duncan/british%20columbia/5_62850106_bs2007530142258/,2024 Hyundai IONIQ 5 PREFERRED,"$65,199",,,Duncan,Duncan Hyundai
https://www.autotrader.ca/a/kia/niro%20ev/brossard/quebec/5_63764795_20055981430706/,2025 Kia Niro EV Wind FWD * DISPONIBLE *,"$48,544",,,Brossard,Mega Kia Brossard
https://www.autotrader.ca/a/kia/ev6/brossard/quebec/5_63688894_20055981430706/,2024 Kia EV6 Land AWD ** DISPONIBLE *,"$61,644",,,Brossard,Mega Kia Brossard
https://www.autotrader.ca/a/nissan/leaf/port%20moody/british%20columbia/5_63415865_bs2004521111731/,2021 Nissan LEAF SV Tech package $1600 PST REbate,"$24,500","Scarlet Ember 2021 Nissan Leaf 4D Hatchback SV SV $1600 PST REbate FWD Single Speed Reducer Electric Motor

One low hassle free pre negotiated price, Ask us about our 24 Hour EV test drive, PST Rebate is not included in above price and is based on PST due, Electric charge cord...","44,963 km",Port Moody,Westwood Honda
https://www.autotrader.ca/a/chevrolet/bolt%20ev/port%20moody/british%20columbia/5_62829319_bs2004521111731/,2020 Chevrolet Bolt EV LT-BATTERY WARRANTY UNTIL 2031,"$25,000","Odometer is 9697 kilometers below market average! Mosaic Black Metallic 2020 Chevrolet Bolt EV 4D Wagon LT LT-BATTERY WARRANTY UNTIL 2031 FWD 1-Speed Automatic Electric Drive Unit

One low hassle free pre negotiated price, Ask us about our 24 Hour EV test drive, Electric charg...","40,793 km",Port Moody,Westwood Honda
https://www.autotrader.ca/a/ford/mustang%20mach-e/toronto/ontario/5_63304908_20200127140709863/,"2024 Ford Mustang Mach-E Premium AWD | Extnd Range Battery | 15.5"" Touch","$58,999",,,Toronto,EAST COURT FORD
https://www.autotrader.ca/a/chevrolet/bolt%20ev/arborg/manitoba/5_63900334_20231227021720135/,2023 Chevrolet Bolt EV 1LT Htd Seats/Steering | Rmt Start | Backup Cam,"$34,000","Discover the exceptional 2023 Chevrolet Bolt EV 1LT, a station wagon that redefines electric driving with its impressive features and forward-thinking technology. Designed for the modern driver, this Bolt EV comes equipped with a host of advanced safety and convenience options...","4,158 km",Winnipeg,Murray Chevrolet Winnipeg - Virtual
https://www.autotrader.ca/a/hyundai/kona%20electric/charlottetown/prince%20edward%20island/5_63860902_20120514091857736/,2022 Hyundai Kona Electric Preferred,"$27,998","You'll have no regrets driving this impeccable 2022 Hyundai Kona Electric. Tire Specific Low Tire Pressure Warning, Side Impact Beams, Rear View Monitor (RVM) Back-Up Camera, Rear Parking Sensors, Rear Child Safety Locks. 
 
Fully-Loaded with Additional Options
PHANTOM BLACK...","83,327 km",Charlottetown,Experience Hyundai
https://www.autotrader.ca/a/audi/sq8%20e-tron/north%20york/ontario/5_63362081_on20071217113316750/,2024 Audi SQ8 e-tron BLACK OPTICS|B&O|HEADS-UP|ADAPT CRUISE|LOADED,"$99,888","***CALL FOR APPOINTMENT*** BLACK OPTICS PACKAGE, BANG & OLUFSEN SOUND*** ACCIDENT FREE, ONE OWNER, ONTARIO VEHICLE*** LOWEST FINANCING RATES AVAILABLE*** Daytona Grey Pearl on Arras Red Diamond Stitched Leather Interior, Fully Electric, Loaded with Heads-Up Display, Adaptive C...","12,000 km",North York,FARAZ AUTO SALES
